,id,gender,has_car_and_property,income_type,education_type,family_status,housing_type,occupation_type,amount_income_total
13420,5883440,Female,True,Working,Secondary / secondary special,Civil marriage,Rented apartment,Medicine staff,112500.0
13476,6698075,Female,True,Working,Higher education,Married,House / apartment,Sales staff,171000.0
13477,5627753,Male,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,405000.0
13486,6053719,Male,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,270000.0
13495,6317835,Female,True,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,243000.0
13571,5928870,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,135000.0
13698,6209590,Male,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,225000.0
13850,5189648,Male,True,Working,Higher education,Single / not married,House / apartment,Sales staff,112500.0
13861,6048430,Male,True,State servant,Secondary / secondary special,Married,With parents,Security staff,157500.0
13891,6772902,Female,True,State servant,Secondary / secondary special,Civil marriage,Office apartment,Medicine staff,202500.0
13999,6415311,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,193500.0
14008,6014207,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,225000.0
14054,5011010,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,157500.0
14208,6132915,Male,True,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,292500.0
14223,6778691,Male,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,382500.0
14347,6591948,Male,True,Working,Secondary / secondary special,Married,House / apartment,Security staff,135000.0
14733,6139319,Female,True,Working,Incomplete higher,Civil marriage,House / apartment,Sales staff,202500.0
14776,6396465,Male,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,270000.0
14868,6098727,Male,True,Working,Higher education,Married,House / apartment,High skill tech staff,180000.0
14891,5125874,Male,True,Commercial associate,Higher education,Separated,House / apartment,High skill tech staff,270000.0
14988,5957802,Female,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,247500.0
15035,6033487,Male,True,Working,Higher education,Civil marriage,House / apartment,High skill tech staff,270000.0
15125,6723049,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,112500.0
15176,6498305,Female,True,Working,Higher education,Widow,House / apartment,High skill tech staff,180000.0
15437,5548410,Male,True,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,270000.0
15748,6779548,Male,True,State servant,Secondary / secondary special,Married,House / apartment,Security staff,94500.0
15824,6064687,Male,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,202500.0
15884,6079803,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,292500.0
15985,6520572,Female,True,Working,Higher education,Married,House / apartment,Sales staff,225000.0
16153,5907602,Female,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,117000.0
16164,5680135,Female,True,Working,Higher education,Married,With parents,Core staff,112500.0
16486,6528488,Female,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
16565,6621119,Female,True,State servant,Higher education,Married,House / apartment,Core staff,225000.0
16571,5683585,Female,True,Working,Higher education,Married,House / apartment,Sales staff,112500.0
16988,5236034,Male,True,Working,Higher education,Single / not married,House / apartment,High skill tech staff,256500.0
17008,6091284,Female,True,State servant,Higher education,Single / not married,House / apartment,Core staff,315000.0
17066,6042444,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,148500.0
17112,6259081,Female,True,Working,Higher education,Married,House / apartment,Sales staff,90000.0
17173,5919397,Female,True,Working,Higher education,Married,House / apartment,Core staff,135000.0
17211,6248504,Male,True,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,247500.0
17221,6639517,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,292500.0
17285,5948778,Female,True,Commercial associate,Incomplete higher,Married,House / apartment,Private service staff,112500.0
17344,5945665,Female,True,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,180000.0
17388,5416532,Male,True,State servant,Higher education,Married,House / apartment,Core staff,585000.0
17740,6233295,Female,True,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,90000.0
17954,5796831,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,112500.0
18379,6602366,Female,True,Working,Higher education,Married,House / apartment,Sales staff,270000.0
18391,5905942,Male,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,225000.0
18562,6560491,Female,True,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,126000.0
18771,5029458,Female,True,Commercial associate,Higher education,Civil marriage,House / apartment,Core staff,112500.0
18900,5939676,Male,True,Working,Higher education,Married,House / apartment,Core staff,427500.0
18915,6135033,Female,True,Working,Higher education,Married,House / apartment,Core staff,112500.0
18993,6722524,Male,True,Working,Incomplete higher,Married,House / apartment,High skill tech staff,247500.0
19050,6737534,Female,True,State servant,Higher education,Married,House / apartment,Core staff,225000.0
19099,6472599,Female,True,State servant,Higher education,Married,House / apartment,Core staff,360000.0
19408,6636545,Female,True,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,202500.0
19661,5883152,Female,True,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,180000.0
19662,6486331,Female,True,Working,Higher education,Married,House / apartment,Core staff,171000.0
19702,5776473,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,180000.0
20039,6539425,Female,True,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,126000.0
20216,6519198,Female,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,90000.0
20242,5707239,Female,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,135000.0
20430,5336420,Male,True,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,202500.0
20741,6798776,Male,True,Working,Secondary / secondary special,Married,Municipal apartment,Security staff,180000.0
20784,6115726,Male,True,Working,Incomplete higher,Single / not married,House / apartment,Sales staff,225000.0
20937,5822980,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,315000.0
21037,7833708,Female,True,Working,Higher education,Married,House / apartment,Core staff,360000.0
21084,6842584,Male,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,202500.0
21120,5788664,Female,True,Working,Higher education,Married,House / apartment,Core staff,225000.0
21455,5068385,Female,True,Working,Higher education,Separated,House / apartment,Sales staff,270000.0
21579,5113409,Male,True,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,450000.0
21685,5021296,Female,True,Commercial associate,Higher education,Married,House / apartment,Core staff,180000.0
21847,5598598,Female,True,State servant,Higher education,Single / not married,House / apartment,Core staff,202500.0
22089,6722540,Male,True,Working,Incomplete higher,Married,House / apartment,High skill tech staff,247500.0
22090,5091160,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,256500.0
22105,5224684,Male,True,State servant,Higher education,Married,House / apartment,Core staff,157500.0
22119,6087626,Male,True,Commercial associate,Higher education,Separated,House / apartment,Core staff,450000.0
22198,6367732,Female,True,Commercial associate,Higher education,Married,House / apartment,HR staff,180000.0
22369,6741687,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,180000.0
22414,5317994,Female,True,Working,Higher education,Married,With parents,Core staff,135000.0
22558,6022368,Female,True,Working,Higher education,Married,House / apartment,Sales staff,225000.0
22758,5934541,Male,True,State servant,Higher education,Married,House / apartment,Security staff,180000.0
22859,5317852,Female,True,State servant,Higher education,Married,House / apartment,Core staff,234000.0
22882,5759658,Female,True,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,225000.0
22952,6639698,Female,True,Working,Higher education,Civil marriage,House / apartment,Core staff,270000.0
23090,6311931,Male,True,Working,Higher education,Married,House / apartment,IT staff,126000.0
23106,6799141,Male,True,Working,Secondary / secondary special,Single / not married,House / apartment,Security staff,292500.0
23171,6087932,Male,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,360000.0
23239,5166823,Male,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,225000.0
23245,5549147,Male,True,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,292500.0
23564,5872564,Female,True,State servant,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,148500.0
23627,6591143,Female,True,Working,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,135000.0
23632,5599155,Male,True,State servant,Incomplete higher,Married,Rented apartment,High skill tech staff,243000.0
23665,6070392,Female,True,Working,Higher education,Married,House / apartment,Core staff,315000.0
23908,6484924,Female,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,270000.0
23964,6367727,Female,True,Commercial associate,Higher education,Married,House / apartment,HR staff,180000.0
24001,5929638,Female,True,State servant,Higher education,Single / not married,House / apartment,Core staff,225000.0
24066,5975682,Female,True,Working,Higher education,Married,House / apartment,Sales staff,270000.0
24187,6395953,Male,True,Working,Secondary / secondary special,Civil marriage,House / apartment,Security staff,162000.0
24293,6089303,Female,True,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Sales staff,225000.0
24375,5861072,Female,True,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,540000.0
24397,5090324,Male,True,Working,Higher education,Married,House / apartment,High skill tech staff,135000.0
24434,6239756,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,157500.0
24436,6423956,Female,True,Commercial associate,Higher education,Married,House / apartment,Core staff,837000.0
24481,6099093,Male,True,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,90000.0
24591,5949627,Female,True,Working,Higher education,Married,House / apartment,Sales staff,252000.0
24603,7022334,Male,True,Commercial associate,Higher education,Married,House / apartment,Core staff,256500.0
24619,5883148,Female,True,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,180000.0
24647,6472418,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,157500.0
25064,6112185,Female,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,238500.0
25152,6241203,Male,True,Working,Higher education,Married,House / apartment,Core staff,427500.0
25199,5315081,Male,True,Working,Secondary / secondary special,Married,House / apartment,IT staff,180000.0
25201,6498290,Female,True,State servant,Higher education,Single / not married,House / apartment,Core staff,247500.0
25325,6053717,Male,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,270000.0
25360,5726867,Male,True,Working,Higher education,Married,House / apartment,Security staff,292500.0
25534,5918954,Female,True,Working,Higher education,Married,House / apartment,Core staff,135000.0
25550,5833242,Female,True,Working,Higher education,Married,Office apartment,Core staff,207000.0
25762,6006681,Female,True,Commercial associate,Higher education,Married,House / apartment,Sales staff,112500.0
25776,5978810,Female,True,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,157500.0
25864,6753050,Female,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,202500.0
26179,6665586,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,112500.0
26216,5548357,Male,True,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,382500.0
26217,6008743,Female,True,Commercial associate,Higher education,Married,House / apartment,Core staff,405000.0
26222,6248382,Female,True,Working,Secondary / secondary special,Widow,House / apartment,High skill tech staff,180000.0
26232,5738748,Male,True,Working,Higher education,Married,House / apartment,Core staff,135000.0
26539,6507424,Female,True,Working,Secondary / secondary special,Married,House / apartment,Sales staff,112500.0
26631,5833697,Female,True,Working,Higher education,Married,House / apartment,Core staff,360000.0
26715,6087623,Male,True,Commercial associate,Higher education,Separated,House / apartment,Core staff,450000.0
26731,6742141,Female,True,State servant,Higher education,Married,House / apartment,Core staff,157500.0
26811,6741658,Female,True,Commercial associate,Higher education,Single / not married,House / apartment,High skill tech staff,405000.0
26813,6152053,Male,True,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,157500.0
26883,6272246,Female,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,216000.0
27028,7760616,Female,True,Working,Higher education,Married,House / apartment,Sales staff,630000.0
27125,6737034,Male,True,Working,Secondary / secondary special,Married,With parents,Cooking staff,157500.0
27259,5113315,Female,True,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,153000.0
27277,7028420,Female,True,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,189000.0
27278,5833706,Female,True,Working,Higher education,Married,House / apartment,Core staff,360000.0
27362,6798501,Male,True,Working,Secondary / secondary special,Married,House / apartment,Security staff,135000.0
27363,5113694,Female,True,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,247500.0
27512,5625889,Male,True,Commercial associate,Higher education,Separated,House / apartment,Core staff,243000.0
27652,5796877,Female,True,Working,Higher education,Married,House / apartment,Core staff,247500.0
27685,7971758,Female,True,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,360000.0
27739,5626557,Male,True,Commercial associate,Higher education,Single / not married,House / apartment,Sales staff,193500.0
27798,5857329,Male,True,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,292500.0
27889,6665181,Female,True,Commercial associate,Higher education,Separated,Office apartment,Private service staff,360000.0
27935,7126036,Female,True,Working,Secondary / secondary special,Separated,House / apartment,Cleaning staff,108000.0
27956,6690578,Male,True,Commercial associate,Higher education,Married,House / apartment,Security staff,256500.0
27959,6690579,Male,True,Commercial associate,Higher education,Married,House / apartment,Security staff,256500.0
27994,6292393,Female,True,Working,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,153000.0
28005,6631430,Female,True,Working,Higher education,Married,House / apartment,Core staff,157500.0
28051,6779825,Male,True,Working,Secondary / secondary special,Single / not married,House / apartment,Core staff,180000.0
28073,6209417,Female,True,Working,Higher education,Married,House / apartment,Sales staff,90000.0
28168,5113696,Female,True,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,247500.0
28184,5971247,Female,True,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,270000.0
28354,5010864,Male,True,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,450000.0
28448,5313600,Female,True,Working,Secondary / secondary special,Married,House / apartment,Core staff,180000.0
28500,5499472,Female,True,Working,Higher education,Married,House / apartment,Sales staff,270000.0
28502,6099513,Female,True,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,112500.0
